"Stkcd","ShortName","Accper","Typrep","Source","F080601A","F081602C"
"000002","万科A","2019-12-31","A","0","0.131724","0.235873"
"000002","万科A","2019-12-31","B","0","-0.018972","0.337284"
"000002","万科A","2020-03-31","A","0","0.005703","-0.012409"
"000002","万科A","2020-03-31","B","0","0.071052","0.305793"
"000002","万科A","2020-06-30","A","0","0.044081","0.050455"
"000002","万科A","2020-06-30","B","0","0.174941","1.235003"
"000002","万科A","2020-09-30","A","0","0.048867","0.078497"
"000002","万科A","2020-09-30","B","0","0.072030","0.987202"
"000002","万科A","2020-12-31","A","0","0.080493","0.139219"
"000002","万科A","2020-12-31","B","0","0.075274","0.725888"
"000002","万科A","2021-03-31","A","0","0.020695","0.303296"
"000002","万科A","2021-03-31","B","0","0.001109","0.931427"
"000002","万科A","2021-06-30","A","0","0.045939","0.141862"
"000002","万科A","2021-06-30","B","0","0.049127","0.099864"
"000002","万科A","2021-09-30","A","0","0.052550","0.124204"
"000002","万科A","2021-12-31","A","0","0.037161","0.080375"
"000002","万科A","2021-12-31","B","0","0.056885","-0.096647"
"000002","万科A","2022-03-31","A","0","0.004504","0.006472"
"000002","万科A","2022-06-30","A","0","-0.030659","0.238197"
"000002","万科A","2022-06-30","B","0","0.069607","-0.437818"
"000002","万科A","2022-09-30","A","0","-0.054685","0.243797"
"000002","万科A","2022-12-31","A","0","-0.093629","0.112723"
"000002","万科A","2022-12-31","B","0","0.072544","-0.590542"
"000002","万科A","2023-03-31","A","0","-0.008378","0.092663"
"000002","万科A","2023-06-30","A","0","-0.041875","-0.029112"
"000002","万科A","2023-06-30","B","0","-0.004389","0.051091"
"000002","万科A","2023-09-30","A","0","-0.063206","-0.140268"
"000002","万科A","2023-12-31","A","0","-0.143904","-0.075618"
"000002","万科A","2023-12-31","B","0","-0.027172","0.100260"
"000002","万科A","2024-03-31","A","0","-0.027233","-0.100474"
"000002","万科A","2024-06-30","A","0","-0.054511","-0.289278"
"000002","万科A","2024-06-30","B","0","-0.017836","-0.322941"
"000002","万科A","2024-09-30","A","0","-0.098130","-0.242548"
"000002","万科A","2024-12-31","A","0","-0.145257","-0.263157"
"000002","万科A","2024-12-31","B","0","-0.066202","0.203928"
"000002","万科A","2025-03-31","A","0","-0.032824","-0.383145"
"000002","万科A","2025-06-30","A","0","-0.071611","-0.262332"
"000002","万科A","2025-06-30","B","0","0.022740","-0.336070"
"000002","万科A","2025-09-30","A","0","-0.116357","-0.266065"
"000002","万科A","2025-12-31","A","0","-0.206519","-0.319788"
"000002","万科A","2025-12-31","B","0","-0.100699","-0.995946"
"000002","万科A","2026-03-31","A","0","-0.022747","-0.238633"
"000004","国农科技","2019-12-31","A","0","3.255655","-0.704944"
"000004","国农科技","2019-12-31","B","0","8.963371","3.784456"
"000004","国农科技","2020-03-31","A","0","-0.011464","-0.782586"
"000004","国农科技","2020-03-31","B","0","-0.003255","-0.198020"
"000004","国农科技","2020-06-30","A","0","-0.009203","-0.503227"
"000004","国农科技","2020-06-30","B","0","-0.000971","-0.599010"
"000004","国农科技","2020-09-30","A","0","0.036014","0.358709"
"000004","国农科技","2020-09-30","B","0","-0.001272","-0.732673"
"000004","国华网安","2020-12-31","A","0","0.046218","1.591590"
"000004","国华网安","2020-12-31","B","0","-0.011192","-0.930128"
"000004","国华网安","2021-03-31","A","0","0.010218","0.571028"
"000004","国华网安","2021-03-31","B","0","-0.002001","0.306291"
"000004","国华网安","2021-06-30","A","0","-0.004738","0.739161"
"000004","国华网安","2021-06-30","B","0","-0.003400","1.612582"
"000004","国华网安","2021-09-30","A","0","0.038413","0.130852"
"000004","国华网安","2021-12-31","A","0","-0.289718","0.029990"
"000004","国华网安","2021-12-31","B","0","-0.007110","1.820849"
"000004","国华网安","2022-03-31","A","0","-0.027091","-0.691668"
"000004","ST 国华","2022-06-30","A","0","-0.062849","-0.756347"
"000004","ST 国华","2022-06-30","B","0","-0.006678","0.060000"
"000004","ST 国华","2022-09-30","A","0","-0.051601","-0.493267"
"000004","ST 国华","2022-12-31","A","0","-0.481896","-0.423891"
"000004","ST 国华","2022-12-31","B","0","-0.015132","0.049505"
"000004","ST 国华","2023-03-31","A","0","-0.069648","0.887098"
"000004","国华网安","2023-06-30","A","0","-0.114044","0.410661"
"000004","国华网安","2023-06-30","B","0","-0.006602","0.080001"
"000004","国华网安","2023-09-30","A","0","-0.127586","-0.043632"
"000004","国华网安","2023-12-31","A","0","-0.283118","-0.338902"
"000004","国华网安","2023-12-31","B","0","-0.008636","0.070001"
"000004","国华网安","2024-03-31","A","0","-0.023964","-0.273135"
"000004","国华网安","2024-06-30","A","0","-0.041634","0.161035"
"000004","国华网安","2024-06-30","B","0","-0.004216","-0.182099"
"000004","国华网安","2024-09-30","A","0","-0.069917","-0.057799"
"000004","国华网安","2024-12-31","A","0","-0.247287","-0.103483"
"000004","国华网安","2024-12-31","B","0","-0.009923","-0.009346"
"000004","国华网安","2025-03-31","A","0","-0.065623","0.186752"
"000004","*ST 国华","2025-06-30","A","0","-0.101065","-0.232104"
"000004","*ST 国华","2025-06-30","B","0","-0.004007","0.200000"
"000004","*ST 国华","2025-09-30","A","0","-0.162795","-0.327718"
"000004","*ST 国华","2025-12-31","A","0","0.323032","0.793601"
"000004","*ST 国华","2025-12-31","B","0","0.017524","-0.028633"
"000004","*ST 国华","2026-03-31","A","0","-0.163886","-0.093408"
"000006","深振业A","2019-12-31","A","0","0.163156","0.485494"
"000006","深振业A","2019-12-31","B","0","0.138379","0.140092"
"000006","深振业A","2020-03-31","A","0","-0.026371","0.577314"
"000006","深振业A","2020-03-31","B","0","0.007498","-0.504886"
"000006","深振业A","2020-06-30","A","0","-0.049343","0.260422"
"000006","深振业A","2020-06-30","B","0","-0.032381","-0.320858"
"000006","深振业A","2020-09-30","A","0","-0.021793","-0.183343"
"000006","深振业A","2020-09-30","B","0","-0.010987","-0.250900"
"000006","深振业A","2020-12-31","A","0","-0.019724","-0.213489"
"000006","深振业A","2020-12-31","B","0","-0.004511","0.128944"
"000006","深振业A","2021-03-31","A","0","0.039996","0.407963"
"000006","深振业A","2021-03-31","B","0","0.255588","1.209159"
"000006","深振业A","2021-06-30","A","0","0.215543","0.226193"
"000006","深振业A","2021-06-30","B","0","0.364942","0.550420"
"000006","深振业A","2021-09-30","A","0","0.283903","0.435816"
"000006","深振业A","2021-12-31","A","0","0.529083","0.052419"
"000006","深振业A","2021-12-31","B","0","0.372633","0.457724"
"000006","深振业A","2022-03-31","A","0","-0.003891","-0.617339"
"000006","深振业A","2022-06-30","A","0","0.036688","-0.081016"
"000006","深振业A","2022-06-30","B","0","-0.000502","0.281588"
"000006","深振业A","2022-09-30","A","0","0.115195","-0.353294"
"000006","深振业A","2022-12-31","A","0","0.118555","0.197905"
"000006","深振业A","2022-12-31","B","0","0.026312","-0.047113"
"000006","深振业A","2023-03-31","A","0","0.003591","-0.244035"
"000006","深振业A","2023-06-30","A","0","0.051844","-0.574572"
"000006","深振业A","2023-06-30","B","0","0.125572","0.449229"
"000006","深振业A","2023-09-30","A","0","0.070540","-0.443017"
"000006","深振业A","2023-12-31","A","0","-0.018178","-0.240339"
"000006","深振业A","2023-12-31","B","0","0.100498","0.158125"
"000006","深振业A","2024-03-31","A","0","-0.005936","-0.048667"
"000006","深振业A","2024-06-30","A","0","-0.128543","4.617683"
"000006","深振业A","2024-06-30","B","0","0.012991","-0.269403"
"000006","深振业A","2024-09-30","A","0","-0.194063","4.821414"
"000006","深振业A","2024-12-31","A","0","-0.335364","1.157881"
"000006","深振业A","2024-12-31","B","0","-0.157201","-0.314350"
"000006","深振业A","2025-03-31","A","0","-0.104073","5.402783"
"000006","深振业A","2025-06-30","A","0","-0.065561","-0.418310"
"000006","深振业A","2025-06-30","B","0","0.082750","-0.227624"
"000006","深振业A","2025-09-30","A","0","0.002466","-0.543363"
"000006","深振业A","2025-12-31","A","0","-0.049326","-0.568337"
"000006","深振业A","2025-12-31","B","0","0.062591","0.324593"
"000006","深振业A","2026-03-31","A","0","-0.018024","-0.675412"
"000007","全新好","2019-12-31","A","0","-0.020225","-0.009966"
"000007","全新好","2019-12-31","B","0","-0.050614","0.054785"
"000007","全新好","2020-03-31","A","0","-0.067114","-0.051332"
"000007","全新好","2020-03-31","B","0","-0.031518","0.043514"
"000007","全新好","2020-06-30","A","0","-0.073247","0.013623"
"000007","全新好","2020-06-30","B","0","-0.019864","-0.006781"
"000007","全新好","2020-09-30","A","0","-0.104207","0.081560"
"000007","全新好","2020-09-30","B","0","-0.005732","0.068656"
"000007","全新好","2020-12-31","A","0","-0.317222","0.074381"
"000007","全新好","2020-12-31","B","0","-0.255786","0.075875"
"000007","全新好","2021-03-31","A","0","0.039949","0.500889"
"000007","全新好","2021-03-31","B","0","0.004570","0.357936"
"000007","*ST 全新","2021-06-30","A","0","0.124842","1.578716"
"000007","*ST 全新","2021-06-30","B","0","0.005592","0.155306"
"000007","*ST 全新","2021-09-30","A","0","0.176249","2.803966"
"000007","*ST 全新","2021-12-31","A","0","0.185572","2.950479"
"000007","*ST 全新","2021-12-31","B","0","0.007669","0.092404"
"000007","*ST 全新","2022-03-31","A","0","-0.014873","3.561821"
"000007","*ST 全新","2022-06-30","A","0","0.002406","1.169281"
"000007","*ST 全新","2022-06-30","B","0","0.003974","0.012818"
"000007","全新好","2022-09-30","A","0","0.000334","0.516724"
"000007","全新好","2022-12-31","A","0","-0.180155","0.238229"
"000007","全新好","2022-12-31","B","0","-0.199648","0.015955"
"000007","全新好","2023-03-31","A","0","-0.000811","-0.174634"
"000007","*ST 全新","2023-06-30","A","0","0.017328","-0.128805"
"000007","*ST 全新","2023-06-30","B","0","0.031908","0.031516"
"000007","*ST 全新","2023-09-30","A","0","0.036145","-0.209413"
"000007","*ST 全新","2023-12-31","A","0","0.120286","-0.020151"
"000007","*ST 全新","2023-12-31","B","0","0.070623","0.003362"
"000007","*ST 全新","2024-03-31","A","0","-0.003178","-0.126146"
"000007","*ST 全新","2024-06-30","A","0","-0.032973","-0.243825"
"000007","*ST 全新","2024-06-30","B","0","-0.028955","-0.097500"
"000007","全新好","2024-09-30","A","0","-0.165755","0.006030"
"000007","全新好","2024-12-31","A","0","-0.199442","0.420024"
"000007","全新好","2024-12-31","B","0","-0.253982","-0.093156"
"000007","全新好","2025-03-31","A","0","-0.023187","1.204111"
"000007","全新好","2025-06-30","A","0","-0.010302","1.462500"
"000007","全新好","2025-06-30","B","0","-0.065189","-0.109961"
"000007","全新好","2025-09-30","A","0","0.162284","0.944207"
"000007","全新好","2025-12-31","A","0","0.178600","0.287889"
"000007","全新好","2025-12-31","B","0","-0.112017","-0.110901"
"000007","全新好","2026-03-31","A","0","-0.090294","0.297216"
"000008","神州高铁","2019-12-31","A","0","0.150786","0.255465"
"000008","神州高铁","2019-12-31","B","0","0.131014","3.801886"
"000008","神州高铁","2020-03-31","A","0","-0.000930","-0.613524"
"000008","神州高铁","2020-03-31","B","0","0.050941",""
"000008","神州高铁","2020-06-30","A","0","-0.014870","-0.543420"
"000008","神州高铁","2020-06-30","B","0","0.013876","-0.875175"
"000008","神州高铁","2020-09-30","A","0","0.018352","-0.389100"
"000008","神州高铁","2020-09-30","B","0","0.064786","-0.937902"
"000008","神州高铁","2020-12-31","A","0","0.065072","-0.404524"
"000008","神州高铁","2020-12-31","B","0","0.133234","-0.740486"
"000008","神州高铁","2021-03-31","A","0","0.027170","0.251125"
"000008","神州高铁","2021-03-31","B","0","0.153700",""
"000008","神州高铁","2021-06-30","A","0","-0.006428","0.239947"
"000008","神州高铁","2021-06-30","B","0","0.163032","-0.451837"
"000008","神州高铁","2021-09-30","A","0","0.027204","0.094240"
"000008","神州高铁","2021-12-31","A","0","-0.034988","0.155036"
"000008","神州高铁","2021-12-31","B","0","0.062166","-0.802213"
"000008","神州高铁","2022-03-31","A","0","-0.033467","0.444084"
"000008","神州高铁","2022-06-30","A","0","-0.047140","0.100470"
"000008","神州高铁","2022-06-30","B","0","-0.031776","-0.324091"
"000008","神州高铁","2022-09-30","A","0","-0.036139","-0.091772"
"000008","神州高铁","2022-12-31","A","0","-0.091790","-0.199499"
"000008","神州高铁","2022-12-31","B","0","-0.108346","-0.729881"
"000008","神州高铁","2023-03-31","A","0","0.018380","1.000801"
"000008","神州高铁","2023-06-30","A","0","0.034974","0.417741"
"000008","神州高铁","2023-06-30","B","0","0.076838","-0.456498"
"000008","神州高铁","2023-09-30","A","0","-0.014334","0.381274"
"000008","神州高铁","2023-12-31","A","0","-0.052687","0.416647"
"000008","神州高铁","2023-12-31","B","0","0.255650","0.179481"
"000008","神州高铁","2024-03-31","A","0","0.000749","-0.581958"
"000008","神州高铁","2024-06-30","A","0","-0.015626","-0.360267"
"000008","神州高铁","2024-06-30","B","0","0.007654","-0.774270"
"000008","神州高铁","2024-09-30","A","0","-0.022122","-0.167088"
"000008","神州高铁","2024-12-31","A","0","-0.065524","-0.171057"
"000008","神州高铁","2024-12-31","B","0","-0.077202","0.604387"
"000008","神州高铁","2025-03-31","A","0","0.004085","0.236201"
"000008","神州高铁","2025-06-30","A","0","-0.073523","0.085782"
"000008","神州高铁","2025-06-30","B","0","0.110994","-0.569624"
"000008","神州高铁","2025-09-30","A","0","-0.085065","0.042978"
"000008","神州高铁","2025-12-31","A","0","-0.124447","0.018437"
"000008","神州高铁","2025-12-31","B","0","-0.141891","-0.844002"
"000008","神州高铁","2026-03-31","A","0","-0.039199","0.080675"
"000009","中国宝安","2019-12-31","A","0","0.012061","0.019903"
"000009","中国宝安","2019-12-31","B","0","0.076803","0.215798"
"000009","中国宝安","2020-03-31","A","0","0.000972","-0.279395"
"000009","中国宝安","2020-03-31","B","0","0.004060","2.136488"
"000009","中国宝安","2020-06-30","A","0","-0.018890","-0.325148"
"000009","中国宝安","2020-06-30","B","0","0.020303","2.566314"
"000009","中国宝安","2020-09-30","A","0","0.042492","-0.207617"
"000009","中国宝安","2020-09-30","B","0","-0.004178","1.114940"
"000009","中国宝安","2020-12-31","A","0","0.054405","-0.113391"
"000009","中国宝安","2020-12-31","B","0","0.000970","-0.018542"
"000009","中国宝安","2021-03-31","A","0","0.011802","1.293265"
"000009","中国宝安","2021-03-31","B","0","-0.021840","0.036002"
"000009","中国宝安","2021-06-30","A","0","0.028493","1.017325"
"000009","中国宝安","2021-06-30","B","0","-0.020217","-0.171689"
"000009","中国宝安","2021-09-30","A","0","0.078754","0.753669"
"000009","中国宝安","2021-12-31","A","0","0.139166","0.656944"
"000009","中国宝安","2021-12-31","B","0","-0.029642","35.381593"
"000009","中国宝安","2022-03-31","A","0","0.103034","0.535630"
"000009","中国宝安","2022-06-30","A","0","0.219659","0.684531"
"000009","中国宝安","2022-06-30","B","0","-0.021778","-0.130653"
"000009","中国宝安","2022-09-30","A","0","0.337791","0.847655"
"000009","中国宝安","2022-12-31","A","0","0.410542","0.822934"
"000009","中国宝安","2022-12-31","B","0","-0.022505","-0.979901"
"000009","中国宝安","2023-03-31","A","0","-0.017276","0.447807"
"000009","中国宝安","2023-06-30","A","0","-0.059227","0.205124"
"000009","中国宝安","2023-06-30","B","0","0.028585","0.557561"
"000009","中国宝安","2023-09-30","A","0","-0.040223","0.090249"
"000009","中国宝安","2023-12-31","A","0","-0.043737","-0.040677"
"000009","中国宝安","2023-12-31","B","0","0.023288","0.540560"
"000009","中国宝安","2024-03-31","A","0","0.041463","-0.392386"
"000009","中国宝安","2024-06-30","A","0","0.029565","-0.384031"
"000009","中国宝安","2024-06-30","B","0","0.015601","0.491894"
"000009","中国宝安","2024-09-30","A","0","0.048755","-0.402825"
"000009","中国宝安","2024-12-31","A","0","0.073349","-0.341049"
"000009","中国宝安","2024-12-31","B","0","-0.003313","3.804615"
"000009","中国宝安","2025-03-31","A","0","0.027048","-0.027199"
"000009","中国宝安","2025-06-30","A","0","0.042295","0.080713"
"000009","中国宝安","2025-06-30","B","0","0.015582","-0.366463"
"000009","中国宝安","2025-09-30","A","0","0.052155","0.148723"
"000009","中国宝安","2025-12-31","A","0","0.057309","0.138838"
"000009","中国宝安","2025-12-31","B","0","0.032954","-0.748122"
"000009","中国宝安","2026-03-31","A","0","0.025711","0.197182"
"000011","深物业A","2019-12-31","A","0","0.533810","0.421359"
"000011","深物业A","2019-12-31","B","0","0.411212","-0.692865"
"000011","深物业A","2020-03-31","A","0","0.047854","1.232308"
"000011","深物业A","2020-03-31","B","0","-0.046145","-0.944033"
"000011","深物业A","2020-06-30","A","0","0.016371","0.881250"
"000011","深物业A","2020-06-30","B","0","-0.153840","-0.924459"
"000011","深物业A","2020-09-30","A","0","0.133937","0.750280"
"000011","深物业A","2020-09-30","B","0","-0.007639","-0.898442"
"000011","深物业A","2020-12-31","A","0","0.133197","0.036021"
"000011","深物业A","2020-12-31","B","0","-0.008044","-0.836902"
"000011","深物业A","2021-03-31","A","0","0.020352","0.034218"
"000011","深物业A","2021-03-31","B","0","0.019192","1.291418"
"000011","深物业A","2021-06-30","A","0","0.088170","0.787985"
"000011","深物业A","2021-06-30","B","0","0.173689","0.637771"
"000011","深物业A","2021-09-30","A","0","0.142215","0.814161"
"000011","深物业A","2021-12-31","A","0","0.194517","0.094434"
"000011","深物业A","2021-12-31","B","0","0.346325","0.255306"
"000011","深物业A","2022-03-31","A","0","-0.018943","0.409398"
"000011","深物业A","2022-06-30","A","0","0.022747","-0.217471"
"000011","深物业A","2022-06-30","B","0","0.108335","-0.253215"
"000011","深物业A","2022-09-30","A","0","0.010845","-0.012948"
"000011","深物业A","2022-12-31","A","0","0.065007","-0.174377"
"000011","深物业A","2022-12-31","B","0","0.160089","-0.062625"
"000011","深物业A","2023-03-31","A","0","-0.001317","-0.672348"
"000011","深物业A","2023-06-30","A","0","-0.019034","-0.041661"
"000011","深物业A","2023-06-30","B","0","-0.082472","30.770573"
"000011","深物业A","2023-09-30","A","0","-0.013724","-0.227039"
"000011","深物业A","2023-12-31","A","0","0.073510","-0.200490"
"000011","深物业A","2023-12-31","B","0","-0.011008","12.960252"
"000011","深物业A","2024-03-31","A","0","-0.005822","-0.011877"
"000011","深物业A","2024-06-30","A","0","-0.019390","-0.550751"
"000011","深物业A","2024-06-30","B","0","-0.050250","-0.968078"
"000011","深物业A","2024-09-30","A","0","-0.051296","-0.457095"
"000011","深物业A","2024-12-31","A","0","-0.099768","-0.077892"
"000011","深物业A","2024-12-31","B","0","-0.063598","-0.939065"
"000011","深物业A","2025-03-31","A","0","0.047144","0.213521"
"000011","深物业A","2025-06-30","A","0","0.088006","0.270879"
"000011","深物业A","2025-06-30","B","0","0.108579","0.295849"
"000011","深物业A","2025-09-30","A","0","0.000719","0.301991"
"000011","深物业A","2025-12-31","A","0","0.008822","-0.128329"
"000011","深物业A","2025-12-31","B","0","0.128776","0.126707"
"000011","深物业A","2026-03-31","A","0","-0.023956","0.127340"
"000012","南玻A","2019-12-31","A","0","-0.047765","-0.013001"
"000012","南玻A","2019-12-31","B","0","0.021798","0.395661"
"000012","南玻A","2020-03-31","A","0","0.112451","-0.219891"
"000012","南玻A","2020-03-31","B","0","0.181691","-0.043519"
"000012","南玻A","2020-06-30","A","0","0.063901","-0.094925"
"000012","南玻A","2020-06-30","B","0","0.132351","-0.017610"
"000012","南玻A","2020-09-30","A","0","-0.003204","-0.025240"
"000012","南玻A","2020-09-30","B","0","-0.069010","-0.015266"
"000012","南玻A","2020-12-31","A","0","-0.017489","0.019025"
"000012","南玻A","2020-12-31","B","0","-0.052494","1.643335"
"000012","南玻A","2021-03-31","A","0","0.022871","0.734079"
"000012","南玻A","2021-03-31","B","0","-0.035412","-0.013414"
"000012","南玻A","2021-06-30","A","0","0.038036","0.495134"
"000012","南玻A","2021-06-30","B","0","-0.040043","0.129602"
"000012","南玻A","2021-09-30","A","0","0.086366","0.372048"
"000012","南玻A","2021-12-31","A","0","0.114995","0.277173"
"000012","南玻A","2021-12-31","B","0","0.138952","0.354127"
"000012","南玻A","2022-03-31","A","0","0.038126","-0.073540"
"000012","南玻A","2022-06-30","A","0","0.126976","-0.014450"
"000012","南玻A","2022-06-30","B","0","0.052661","4.436535"
"000012","南玻A","2022-09-30","A","0","0.246779","0.054352"
"000012","南玻A","2022-12-31","A","0","0.299365","0.115171"
"000012","南玻A","2022-12-31","B","0","0.071981","0.270043"
"000012","南玻A","2023-03-31","A","0","-0.010305","0.461270"
"000012","南玻A","2023-06-30","A","0","0.052587","0.286863"
"000012","南玻A","2023-06-30","B","0","0.011224","-0.045060"
"000012","南玻A","2023-09-30","A","0","0.114920","0.247706"
"000012","南玻A","2023-12-31","A","0","0.172099","0.197132"
"000012","南玻A","2023-12-31","B","0","0.078076","0.069025"
"000012","南玻A","2024-03-31","A","0","0.025911","-0.030327"
"000012","南玻A","2024-06-30","A","0","0.062805","-0.036996"
"000012","南玻A","2024-06-30","B","0","0.022958","-0.108366"
"000012","南玻A","2024-09-30","A","0","0.050970","-0.121889"
"000012","南玻A","2024-12-31","A","0","0.028271","-0.150563"
"000012","南玻A","2024-12-31","B","0","0.035605","-0.152259"
"000012","南玻A","2025-03-31","A","0","0.024175","-0.222535"
"000012","南玻A","2025-06-30","A","0","0.014640","-0.197477"
"000012","南玻A","2025-06-30","B","0","0.007816","-0.200555"
"000012","南玻A","2025-09-30","A","0","0.001577","-0.119362"
"000012","南玻A","2025-12-31","A","0","0.002710","-0.112350"
"000012","南玻A","2025-12-31","B","0","0.020117","-0.195019"
"000012","南玻A","2026-03-31","A","0","0.012283","-0.025605"
"000014","沙河股份","2019-12-31","A","0","0.028748","0.224095"
"000014","沙河股份","2019-12-31","B","0","0.100022","0.147076"
"000014","沙河股份","2020-03-31","A","0","0.028977","11.021204"
"000014","沙河股份","2020-03-31","B","0","-0.000484","-0.283217"
"000014","沙河股份","2020-06-30","A","0","-0.002440","1.549015"
"000014","沙河股份","2020-06-30","B","0","0.019127","0.130586"
"000014","沙河股份","2020-09-30","A","0","0.100905","1.536778"
"000014","沙河股份","2020-09-30","B","0","0.030578","0.106890"
"000014","沙河股份","2020-12-31","A","0","0.233893","-0.208761"
"000014","沙河股份","2020-12-31","B","0","-0.228727","0.035050"
"000014","沙河股份","2021-03-31","A","0","-0.023712","-0.906861"
"000014","沙河股份","2021-03-31","B","0","0.011420","1.157156"
"000014","沙河股份","2021-06-30","A","0","0.040009","-0.915107"
"000014","沙河股份","2021-06-30","B","0","-0.008504","-0.004503"
"000014","沙河股份","2021-09-30","A","0","0.113178","-0.894267"
"000014","沙河股份","2021-12-31","A","0","0.043218","0.851127"
"000014","沙河股份","2021-12-31","B","0","-0.023977","0.029697"
"000014","沙河股份","2022-03-31","A","0","-0.037039","16.634703"
"000014","沙河股份","2022-06-30","A","0","-0.058779","19.269142"
"000014","沙河股份","2022-06-30","B","0","-0.028200","-0.324436"
"000014","沙河股份","2022-09-30","A","0","0.074220","14.233412"
"000014","沙河股份","2022-12-31","A","0","0.177950","0.189899"
"000014","沙河股份","2022-12-31","B","0","0.384316","-0.385764"
"000014","沙河股份","2023-03-31","A","0","0.085550","1.728840"
"000014","沙河股份","2023-06-30","A","0","-0.097652","1.932590"
"000014","沙河股份","2023-06-30","B","0","0.194077","188.011167"
"000014","沙河股份","2023-09-30","A","0","-0.115951","2.309675"
"000014","沙河股份","2023-12-31","A","0","-0.159932","0.819290"
"000014","沙河股份","2023-12-31","B","0","0.131745","82.449586"
"000014","沙河股份","2024-03-31","A","0","-0.052147","-0.458765"
"000014","沙河股份","2024-06-30","A","0","-0.091000","-0.744230"
"000014","沙河股份","2024-06-30","B","0","-0.048480","-0.933294"
"000014","沙河股份","2024-09-30","A","0","-0.109864","-0.735122"
"000014","沙河股份","2024-12-31","A","0","-0.127852","-0.742367"
"000014","沙河股份","2024-12-31","B","0","-0.049948","-0.945102"
"000014","沙河股份","2025-03-31","A","0","-0.009697","-0.962314"
"000014","沙河股份","2025-06-30","A","0","0.061624","-0.947424"
"000014","沙河股份","2025-06-30","B","0","-0.014532","-0.951993"
"000014","沙河股份","2025-09-30","A","0","0.058109","-0.935843"
"000014","沙河股份","2025-12-31","A","0","-0.071698","-0.133460"
"000014","沙河股份","2025-12-31","B","0","-0.017665","1.258131"
"000014","沙河股份","2026-03-31","A","0","-0.144888","13.177704"
"000017","深中华A","2019-12-31","A","0","-0.143486","-0.365986"
"000017","深中华A","2019-12-31","B","0","0.148399","0.706044"
"000017","深中华A","2020-03-31","A","0","0.120682","-0.661364"
"000017","深中华A","2020-03-31","B","0","0.080513","-0.733060"
"000017","*ST 中华A","2020-06-30","A","0","0.187463","0.114487"
"000017","*ST 中华A","2020-06-30","B","0","0.185433","-0.372123"
"000017","*ST 中华A","2020-09-30","A","0","0.530202","0.318612"
"000017","*ST 中华A","2020-09-30","B","0","0.306225","-0.481245"
"000017","*ST 中华A","2020-12-31","A","0","0.462418","0.550294"
"000017","*ST 中华A","2020-12-31","B","0","0.265045","-0.500065"
"000017","*ST 中华A","2021-03-31","A","0","-0.060445","2.115675"
"000017","*ST 中华A","2021-03-31","B","0","0.017427","0.544127"
"000017","深中华A","2021-06-30","A","0","0.030118","0.268986"
"000017","深中华A","2021-06-30","B","0","0.011997","-0.223947"
"000017","深中华A","2021-09-30","A","0","0.043577","0.004469"
"000017","深中华A","2021-12-31","A","0","0.061266","0.402088"
"000017","深中华A","2021-12-31","B","0","-0.085511","-0.023542"
"000017","深中华A","2022-03-31","A","0","0.046743","1.169246"
"000017","深中华A","2022-06-30","A","0","0.042310","0.970531"
"000017","深中华A","2022-06-30","B","0","-0.062764","-0.515600"
"000017","深中华A","2022-09-30","A","0","0.045054","0.791887"
"000017","深中华A","2022-12-31","A","0","3.080110","1.691506"
"000017","深中华A","2022-12-31","B","0","5.367452","8.476925"
"000017","深中华A","2023-03-31","A","0","-0.003513","2.015664"
"000017","深中华A","2023-06-30","A","0","0.013969","1.746899"
"000017","深中华A","2023-06-30","B","0","-0.035657","3.369804"
"000017","深中华A","2023-09-30","A","0","-0.092311","1.336383"
"000017","深中华A","2023-12-31","A","0","-0.069417","0.278170"
"000017","深中华A","2023-12-31","B","0","0.133897","-0.121690"
"000017","深中华A","2024-03-31","A","0","-0.036185","-0.257248"
"000017","深中华A","2024-06-30","A","0","-0.008931","-0.271330"
"000017","深中华A","2024-06-30","B","0","-0.137494","0.635044"
"000017","深中华A","2024-09-30","A","0","0.007264","-0.198107"
"000017","深中华A","2024-12-31","A","0","0.175219","0.020031"
"000017","深中华A","2024-12-31","B","0","-0.071026","-0.243863"
"000017","深中华A","2025-03-31","A","0","0.021393","0.424662"
"000017","深中华A","2025-06-30","A","0","0.142200","0.498568"
"000017","深中华A","2025-06-30","B","0","0.154398","2.597427"
"000017","深中华A","2025-09-30","A","0","0.073805","1.067095"
"000017","深中华A","2025-12-31","A","0","0.100246","0.269040"
"000017","深中华A","2025-12-31","B","0","0.096440","0.803223"
"000017","深中华A","2026-03-31","A","0","0.044051","-0.176150"
"000019","深粮控股","2019-12-31","A","0","0.047321","0.027996"
"000019","深粮控股","2019-12-31","B","0","0.017217","-0.798697"
"000019","深粮控股","2020-03-31","A","0","-0.008398","-0.340917"
"000019","深粮控股","2020-03-31","B","0","-0.001150","-0.996226"
"000019","深粮控股","2020-06-30","A","0","0.037440","-0.008728"
"000019","深粮控股","2020-06-30","B","0","0.053276","-0.993948"
"000019","深粮控股","2020-09-30","A","0","0.052493","0.061088"
"000019","深粮控股","2020-09-30","B","0","0.017007","-0.900243"
"000019","深粮控股","2020-12-31","A","0","0.078865","0.074552"
"000019","深粮控股","2020-12-31","B","0","-0.023258","-0.796149"
"000019","深粮控股","2021-03-31","A","0","0.074188","0.492971"
"000019","深粮控股","2021-03-31","B","0","0.027825","323.124839"
"000019","深粮控股","2021-06-30","A","0","0.153276","0.110066"
